"","coords.x1","coords.x2","collection_no"
"154",-28.9145050321337,-62.0829093131014,178113
"155",-25.375111474003,-65.2795615671877,178127
"156",14.9302464869709,-54.5573299554941,178128
"157",-6.6233142465491,-61.7632694053585,178198
"158",74.439110010199,42.2497895061587,178200
"159",76.2050997140399,42.5059693319265,178201
"160",74.4512986439379,42.2399447365063,178202
"161",-28.8030817839532,-62.0608251944909,178274
"162",-27.6160217195445,-61.2520356525448,178478
"163",-27.6111707365586,-61.2619101317721,178523
"164",-28.3890024193787,-63.8940396484353,178694
"165",-28.7621708223329,-61.3392090941736,178734
"166",-28.8030817839532,-62.0608251944909,178740
"167",-28.9902612462718,-61.475474374054,178742
"168",-28.8030817839532,-62.0608251944909,178743
"169",-28.3137323293421,-61.4872676773722,178744
"170",-28.7621708223329,-61.3392090941736,178803
"171",-29.0538487894894,-61.4956188583139,178805
"172",-30.623178979594,-60.6372201195923,178806
"173",-30.4101481705304,-60.5890602511454,178830
"174",-28.7621708223329,-61.3392090941736,178865
"175",-28.7621708223329,-61.3392090941736,178866
"176",-29.2523117856847,-61.2559000564377,178867
"177",-27.6111707365586,-61.2619101317721,178869
"178",-28.1894536312455,-60.6151285302738,178870
"179",-30.3287071712885,-60.5740384417281,178879
"180",9.78139103168492,-54.8447288104343,178882
"181",9.74142835922658,-54.8483935669045,178883
"182",-28.8061027421302,-61.3206021001419,179072
"183",-28.5924668641256,-61.7867286354112,179335
"184",-28.0494086760419,-61.8455175066375,179482
"185",-28.7059227958747,-60.8586936558432,179590
"186",-25.4080436152413,-61.8626065524109,179622
"187",49.2712994659449,30.2430206152311,179653
"188",-30.1225759241663,-60.415647412217,180347
"189",15.4853543356426,-54.6176244804813,180461
"190",-28.7504832016258,-61.3416603473734,180462
"191",-28.6352675493504,-62.0590372396436,180677
"192",-30.1939270385548,-60.5610323472504,180782
"193",-29.1183811522594,-62.8311158349376,180787
"194",-28.7845049014171,-62.0642762009825,180807
"195",47.8874287012927,30.1463141148997,180868
"196",-28.7931492039341,-62.057574475383,180878
"197",-28.2584744718372,-64.0517679005267,180880
"198",-29.0230157985865,-63.0580885667601,181090
"199",14.9963000750989,-54.521268220812,181520
"200",-29.1627168285569,-61.3142574542905,181609
"201",-22.0267158875402,-60.6834263980535,181611
"202",-30.3287071712885,-60.5740384417281,181803
"203",12.8675840745273,-53.9547840882631,184599
"204",12.8675840745273,-53.9547840882631,184600
"205",12.9595033134277,-54.2392488190429,184660
"206",13.0215184015918,-54.2296408694559,184661
"207",13.0809972121708,-54.1978579239882,184662
"208",13.0165941822341,-54.1756208921496,184663
"209",13.0359789792722,-54.042296653684,184664
"210",12.8497217875094,-54.0283202668801,184665
"211",12.8497217875094,-54.0283202668801,184666
"212",12.8497217875094,-54.0283202668801,184667
"213",12.8497217875094,-54.0283202668801,184668
"214",12.8497217875094,-54.0283202668801,184669
"215",12.8497217875094,-54.0283202668801,184670
"216",12.8497217875094,-54.0283202668801,184672
"217",12.8497217875094,-54.0283202668801,184673
"218",12.8497217875094,-54.0283202668801,184674
"219",12.8497217875094,-54.0283202668801,184675
"220",12.8497217875094,-54.0283202668801,184676
"221",12.8497217875094,-54.0283202668801,184677
"222",12.8497217875094,-54.0283202668801,185594
"223",12.8497217875094,-54.0283202668801,185595
"224",12.8497217875094,-54.0283202668801,185596
"225",12.8497217875094,-54.0283202668801,185597
"226",12.8497217875094,-54.0283202668801,185598
"227",12.8497217875094,-54.0283202668801,185599
"228",12.8497217875094,-54.0283202668801,185600
"229",12.8497217875094,-54.0283202668801,185601
"230",12.8497217875094,-54.0283202668801,185602
"231",12.8497217875094,-54.0283202668801,185603
"232",12.8497217875094,-54.0283202668801,185604
"233",12.8497217875094,-54.0283202668801,185605
"234",12.8497217875094,-54.0283202668801,185606
"235",12.8252274023635,-56.4401660072463,185745
"236",-30.236326293219,-59.5686938847816,185746
"237",-30.236326293219,-59.5686938847816,185747
"238",-30.3287071712885,-60.5740384417281,185748
"239",-30.5679604101458,-60.1061734654037,185749
"240",-30.4093944476877,-60.361157062511,185750
"241",74.8113039049608,42.9344963052304,186803
"242",37.0299396880185,33.3515103544538,187752
"243",36.798598087961,33.1125749156728,187928
"244",37.2050017310199,33.872680456845,187938
"245",37.2244104699419,33.699394667173,187939
"246",-24.2459681032156,-62.4439153341439,188676
"247",-32.8770083231182,-59.1556041918779,188978
"248",-30.8055457536378,-59.5482981359356,188979
"249",40.1864822776521,32.469701621227,189122
"250",36.798598087961,33.1125749156728,189125
"251",49.2546681591656,30.1608405531655,189314
"252",39.8059866779999,30.4559842356577,189315
"253",39.8059866779999,30.4559842356577,189316
"254",49.1124652410108,30.5466788958525,189331
"255",48.1837494042125,29.851465490754,189400
"256",49.2712994659449,30.2430206152311,189401
"257",38.5514531080861,28.844401850748,189402
"258",46.7793409152075,30.2348757366721,189495
"259",37.1851180790221,33.9117758686779,189496
"260",36.798598087961,33.1125749156728,189499
"261",36.798598087961,33.1125749156728,189500
"262",46.2729807265554,30.4232830889197,189501
"263",39.477152660943,29.545550632096,189502
"264",45.7141141226444,30.3456075702766,189503
"265",41.3045656076674,30.5619524958686,189504
"266",45.7141141226444,30.3456075702766,189505
"267",36.4050661661022,32.1065161610011,189506
"268",36.5453930660066,32.7244598823594,189507
"269",35.7841885463984,37.0152072711035,189532
"270",49.1124652410108,30.5466788958525,189571
"271",-28.8027080487658,-62.0675891634941,189781
"272",-22.6891846949732,-60.5774291145485,189782
"273",-29.853004466359,-60.6132350161836,190045
"274",36.9643951390372,33.3160838165659,190061
"275",15.0707983941169,-54.5447675611016,190330
"276",-29.8530253895146,-60.6132108612488,190331
"277",14.7347642156101,-54.457270111211,190334
"278",-29.8530253895146,-60.6132108612488,190556
"279",-30.2267880096239,-59.7308699347497,190565
"280",-30.2267880096239,-59.7308699347497,190567
