collection_no,lng,lat,n_occs,early_interval,late_interval,max_ma,min_ma,cc,formation,stratgroup,member,zone,lithology1,environment,collection_size
195902,106.300003,24.4,2,Griesbachian,,252.17,251.3,CN,Luolou,,,,mudstone,deep subtidal indet.,
195903,106.300003,24.4,1,Changhsingian,,254.17,252.17,CN,Linghao,,,,mudstone,deep subtidal indet.,
196029,52.411667,52.359722,2,Olenekian,,251.2,247.2,RU,Kzylsaiskaya,,,,sandstone,"""channel""",
196030,52.332779,52.351112,2,Olenekian,,251.2,247.2,RU,Kzylsaiskaya,,,,sandstone,deltaic indet.,
196031,52.303612,52.384445,3,Spathian,,251.3,247.2,RU,Gostevskaya,,,,sandstone,deltaic indet.,
196032,52.358612,52.542221,2,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,deltaic indet.,
196033,52.440277,52.785278,2,Induan,,252.17,251.2,RU,Kopanskaya,,,,sandstone,prodelta,
196034,52.327778,52.795834,1,Induan,,252.17,251.2,RU,Kopanskaya,,,,sandstone,prodelta,
196035,52.347778,52.830833,2,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
196036,52.22028,52.24139,2,Olenekian,,251.2,247.2,RU,Kzylsaiskaya,,,,sandstone,"""channel""",
196037,52.01889,52.230278,3,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
196038,52.11861,52.352779,2,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,deltaic indet.,
196039,52.22361,52.491669,2,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
196040,51.608334,52.34222,4,Spathian,,251.3,247.2,RU,Petropavlovskaya,,,,sandstone,deltaic indet.,
196041,51.927223,52.49778,1,Olenekian,,251.2,247.2,RU,Kzylsaiskaya,,,,sandstone,"""channel""",
196042,51.927223,52.49778,1,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
196043,52.00861,52.624168,2,Olenekian,,251.2,247.2,RU,Kzylsaiskaya,,,,sandstone,"""channel""",
196044,52.014999,52.625278,2,Induan,,252.17,251.2,RU,Kopanskaya,,,,sandstone,deltaic indet.,
196045,52.193333,52.668056,2,Induan,,252.17,251.2,RU,Kopanskaya,,,,sandstone,prodelta,
196046,52.064167,52.716946,2,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
